X,Y,Z
18.24150573052138,1.0452022122027634e-15,3.9392194115780483e-16
18.241505730521382,-2.3592239273284576e-16,-8.673617379884035e-17
18.24150573052138,-1.5265566588595902e-15,-5.689893001203927e-16
18.24150573052138,9.992007221626409e-16,3.7470027081099033e-16
18.24150573052138,-1.942890293094024e-16,-8.326672684688674e-17
18.241505730521375,-1.5543122344752192e-15,-5.828670879282072e-16
18.24150573052138,9.992007221626409e-16,3.7470027081099033e-16
18.24150573052138,-2.7755575615628914e-16,-9.71445146547012e-17
18.24150573052138,-1.4988010832439613e-15,-5.689893001203927e-16
18.24150573052138,9.43689570931383e-16,3.608224830031759e-16
18.24150573052138,-3.885780586188048e-16,-1.1102230246251565e-16
18.241505730521375,-1.609823385706477e-15,-6.106226635438361e-16
18.24150573052138,8.881784197001252e-16,3.3306690738754696e-16
18.24150573052138,-3.3306690738754696e-16,-1.6653345369377348e-16
18.241505730521382,-1.609823385706477e-15,-6.106226635438361e-16
18.241505730521375,7.771561172376096e-16,3.0531133177191805e-16
18.241505730521382,-4.440892098500626e-16,-1.942890293094024e-16
18.24150573052138,-1.5543122344752192e-15,-6.106226635438361e-16
18.241505730521375,8.881784197001252e-16,3.3306690738754696e-16
18.241505730521382,-3.3306690738754696e-16,-1.3877787807814457e-16
18.241505730521382,-1.7763568394002505e-15,-6.661338147750939e-16
18.24150573052138,7.771561172376096e-16,2.220446049250313e-16
18.24150573052138,-6.661338147750939e-16,-2.220446049250313e-16
18.241505730521375,-1.7763568394002505e-15,-6.106226635438361e-16
18.24150573052138,8.881784197001252e-16,2.7755575615628914e-16
18.24150573052138,-4.440892098500626e-16,-1.1102230246251565e-16
18.24150573052138,-1.887379141862766e-15,-6.661338147750939e-16
18.241505730521382,6.661338147750939e-16,2.7755575615628914e-16
18.241505730521382,-3.3306690738754696e-16,-1.1102230246251565e-16
18.24150573052138,-1.9984014443252818e-15,-7.216449660063518e-16
18.24150573052138,8.881784197001252e-16,2.7755575615628914e-16
18.24150573052138,-6.661338147750939e-16,-2.7755575615628914e-16
18.241505730521382,-1.5543122344752192e-15,-6.106226635438361e-16
18.24150573052138,8.881784197001252e-16,2.7755575615628914e-16
18.241505730521382,-6.661338147750939e-16,-2.7755575615628914e-16
18.24150573052138,-1.5543122344752192e-15,-5.551115123125783e-16
18.241505730521382,6.661338147750939e-16,2.220446049250313e-16
18.24150573052138,-6.661338147750939e-16,-3.3306690738754696e-16
