Roll (deg),Pitch (deg),Yaw (deg)
-90.0,0.0,20.650717111626648
-90.11618712582091,0.0,20.650717111626655
-90.23237425164193,0.0,20.650717111626655
-90.34856137746296,0.0,20.650717111626655
-90.46474850328387,1.2722218725854067e-14,20.650717111626655
-90.58093562910489,0.0,20.650717111626655
-90.6971227549258,0.0,20.650717111626655
-90.81330988074681,0.0,20.65071711162663
-90.92949700656783,0.0,20.650717111626655
-91.04568413238874,1.2722218725854067e-14,20.650717111626655
-91.16187125820977,0.0,20.650717111626655
-91.27805838403073,0.0,20.65071711162663
-91.3942455098517,0.0,20.650717111626655
-91.51043263567267,0.0,20.65071711162663
-91.62661976149363,0.0,20.650717111626655
-91.74280688731466,0.0,20.650717111626655
-91.85899401313557,0.0,20.650717111626655
-91.97518113895659,1.2722218725854067e-14,20.650717111626655
-92.0913682647775,0.0,20.650717111626655
-92.20755539059851,0.0,20.65071711162663
-92.32374251641949,0.0,20.65071711162663
-92.43992964224044,0.0,20.650717111626655
-92.55611676806147,0.0,20.650717111626655
-92.67230389388243,0.0,20.65071711162663
-92.7884910197034,0.0,20.650717111626655
-92.90467814552441,0.0,20.650717111626655
-93.02086527134533,1.2722218725854067e-14,20.650717111626655
-93.13705239716636,0.0,20.650717111626655
-93.25323952298727,1.2722218725854067e-14,20.650717111626655
-93.36942664880829,1.2722218725854067e-14,20.650717111626655
-93.4856137746292,0.0,20.650717111626655
-93.60180090045021,0.0,20.65071711162663
-93.71798802627123,0.0,20.650717111626655
-93.83417515209216,1.2722218725854067e-14,20.65071711162663
-93.95036227791317,0.0,20.650717111626655
-94.06654940373413,0.0,20.65071711162663
-94.1827365295551,0.0,20.650717111626655
-94.29892365537607,1.2722218725854067e-14,20.65071711162663
-94.41511078119703,1.2722218725854067e-14,20.650717111626655
-94.53129790701806,0.0,20.650717111626655
-94.64748503283897,0.0,20.650717111626655
-94.76367215865999,0.0,20.650717111626655
-94.8798592844809,0.0,20.650717111626655
-94.99604641030191,1.2722218725854067e-14,20.650717111626655
-95.11223353612293,0.0,20.650717111626655
-95.22842066194386,0.0,20.650717111626655
-95.34460778776487,0.0,20.650717111626655
-95.46079491358579,0.0,20.650717111626655
-95.5769820394068,0.0,20.650717111626655
-95.69316916522772,-1.2722218725854067e-14,20.650717111626655
-95.80935629104873,0.0,20.650717111626655
-95.92554341686976,0.0,20.650717111626655
-96.04173054269067,1.2722218725854067e-14,20.650717111626655
-96.15791766851169,0.0,20.650717111626655
-96.2741047943326,0.0,20.650717111626655
-96.39029192015362,0.0,20.65071711162663
-96.50647904597459,-1.2722218725854067e-14,20.65071711162663
-96.62266617179556,0.0,20.650717111626655
-96.73885329761657,0.0,20.650717111626655
-96.85504042343749,0.0,20.650717111626655
-96.9712275492585,1.2722218725854067e-14,20.650717111626655
-97.08741467507942,1.2722218725854067e-14,20.650717111626655
-97.20360180090043,0.0,20.65071711162663
-97.31978892672146,0.0,20.650717111626655
-97.43597605254237,0.0,20.650717111626655
-97.55216317836339,0.0,20.650717111626655
-97.6683503041843,1.2722218725854067e-14,20.650717111626655
-97.78453743000532,0.0,20.65071711162668
-97.90072455582634,1.2722218725854067e-14,20.650717111626655
-98.01691168164726,0.0,20.650717111626655
-98.13309880746827,1.2722218725854067e-14,20.650717111626655
-98.24928593328919,0.0,20.650717111626655
-98.3654730591102,0.0,20.650717111626655
-98.48166018493112,0.0,20.650717111626655
-98.59784731075213,1.2722218725854067e-14,20.650717111626655
-98.71403443657316,1.2722218725854067e-14,20.650717111626655
-98.83022156239407,0.0,20.650717111626655
-98.94640868821509,0.0,20.650717111626655
-99.062595814036,0.0,20.650717111626655
-99.17878293985702,0.0,20.65071711162663
-99.29497006567793,1.2722218725854067e-14,20.650717111626655
-99.41115719149896,0.0,20.65071711162663
-99.52734431731997,0.0,20.650717111626655
-99.64353144314089,1.2722218725854067e-14,20.650717111626655
-99.7597185689619,1.2722218725854067e-14,20.650717111626655
-99.87590569478287,0.0,20.65071711162663
-99.99209282060383,0.0,20.65071711162663
-100.1082799464248,0.0,20.65071711162663
-100.22446707224577,0.0,20.650717111626655
-100.34065419806679,1.2722218725854067e-14,20.650717111626655
-100.4568413238877,0.0,20.650717111626655
-100.57302844970872,1.2722218725854067e-14,20.65071711162663
-100.68921557552969,0.0,20.65071711162663
-100.80540270135066,0.0,20.650717111626655
-100.92158982717167,1.2722218725854067e-14,20.650717111626655
-101.03777695299259,0.0,20.650717111626655
-101.1539640788136,0.0,20.650717111626655
-101.27015120463457,0.0,20.65071711162663
-101.38633833045553,1.2722218725854067e-14,20.65071711162663
-101.50252545627656,0.0,20.650717111626655
-101.61871258209747,-1.2722218725854067e-14,20.650717111626655
-101.73489970791849,0.0,20.650717111626655
-101.8510868337394,0.0,20.650717111626655
-101.96727395956042,0.0,20.65071711162663
-102.08346108538139,0.0,20.65071711162663
-102.19964821120236,0.0,20.650717111626655
-102.31583533702337,0.0,20.650717111626655
-102.43202246284429,0.0,20.650717111626655
-102.5482095886653,0.0,20.65071711162663
-102.66439671448622,0.0,20.650717111626655
-102.78058384030724,1.2722218725854067e-14,20.650717111626655
-102.89677096612826,0.0,20.650717111626655
-103.01295809194917,0.0,20.650717111626655
-103.12914521777019,0.0,20.650717111626655
-103.2453323435911,0.0,20.650717111626655
